id,e2m,m2y,e2m2y,padj,coef
V178,1.47545728841347e-05,0,1.47545728841347e-05,7.37728644206737e-05,0.309247716701144
V237,2.08225917087659e-09,0,2.08225917087659e-09,1.45758141961362e-08,-0.313053195409173
V371,2.2589555215724e-05,1.24935373158053e-09,2.2589555215724e-05,9.03582208628961e-05,-0.143455855449646
V392,0.00367744637229284,0,0.00367744637229284,0.00735489274458567,-0.338063056839603
V486,0.0100603889518395,0,0.0100603889518395,0.0100603889518395,0.331403999369677
V954,0.000329701017653394,7.85232472377828e-08,0.000329701017653394,0.000989103052960183,0.105669640040777
V1121,4.10027745090247e-08,0,4.10027745090247e-08,2.46016647054148e-07,-0.284481238598866
