id,e2m,m2y,e2m2y,padj,coef
V1,1.11306661971575e-101,0.372001447173269,0.372001447173269,0.558002170759904,0.0131686500505956
V17,1.93746048258936e-35,9.28526451497991e-05,9.28526451497991e-05,0.000928526451497991,0.0642539194384434
V55,3.14794043796868e-77,0.000540413364646719,0.000540413364646719,0.00486372028182047,0.0476959947863987
V178,8.3048750345888e-177,0,8.3048750345888e-177,1.24573125518832e-175,0.316205915083363
V237,5.36215844179869e-145,0,5.36215844179869e-145,7.50702181851817e-144,-0.328540542503257
V364,4.75190362587736e-254,0.0244157325895791,0.0244157325895791,0.12818259609529,-0.0212359100155726
V371,1.60212974729376e-166,0.0401057412232446,0.0401057412232446,0.150396529587167,-0.0285505727474814
V392,0,0,0,0,-0.336305726622701
V401,6.69209639450418e-285,0.2363118759585,0.2363118759585,0.531701720906625,-0.0117153201724358
V486,5.78559075188851e-134,0,5.78559075188851e-134,7.52126797745506e-133,0.298329954963595
V611,7.8517472965201e-237,6.20984734522878e-07,6.20984734522878e-07,6.83083207975166e-06,0.0601345384299496
V663,1.11392283977724e-247,0.000811588259463258,0.000811588259463258,0.00649270607570607,0.0343333593477743
V920,4.11076727376196e-140,0.153352831182737,0.153352831182737,0.46005849354821,0.0149927462662586
V926,2.10040066565253e-66,0.0104531329218265,0.0104531329218265,0.0627187975309589,-0.0261899501933287
V1033,9.4491657455023e-300,0.0332268095604134,0.0332268095604134,0.14952064302186,-0.0197125320886198
V1121,5.12603686300436e-105,0,5.12603686300436e-105,6.15124423560523e-104,-0.264534769214037
