id,e2m,m2y,e2m2y,padj,coef
V12,3.17925249646959e-92,0.145919156190165,0.145919156190165,0.437757468570493,0.0360772992841558
V14,0,0.016822771763358,0.016822771763358,0.151404945870222,-0.0447959854217553
V17,1.93746048194556e-35,0.000664948945457544,0.000664948945457544,0.00731443840003299,0.107441623290653
V31,6.06097680584127e-105,0.0623013123904603,0.0623013123904603,0.311506561952302,0.0430703408997092
V36,3.62913099593406e-48,0.242574410126845,0.242574410126845,0.460161021992026,0.0346125299328415
V55,3.14794043494943e-77,0.0738174487432253,0.0738174487432253,0.311506561952302,0.0366917266380942
V56,1.11341502329921e-305,0.0416476647384116,0.0416476647384116,0.24988598843047,-0.0399445989167964
V76,1.91339068217438e-142,0.204516009774234,0.204516009774234,0.460161021992026,0.0317152141164199
V85,1.61370243254326e-45,0.0286667051321377,0.0286667051321377,0.229333641057101,0.0539329751085577
V95,7.29711011119654e-69,0.032370765437743,0.032370765437743,0.229333641057101,-0.0523893146048635
V97,3.27743859830803e-100,0.00207351769361464,0.00207351769361464,0.0207351769361464,-0.0776929862269063
