id,e2m,m2y,e2m2y,padj,coef
V17,1.93746048194683e-35,1.03140380822708e-05,1.03140380822708e-05,6.1884228493625e-05,0.0659976939264752
V55,3.14794043494656e-77,0.00018085787496247,0.00018085787496247,0.00090428937481235,0.0468486850855789
V178,8.30487493733961e-177,0,8.30487493733961e-177,9.13536243107357e-176,0.313673278801164
V237,5.36215843234281e-145,0,5.36215843234281e-145,5.36215843234281e-144,-0.330979853955853
V392,0,0,0,0,-0.340921183842398
V401,6.69209605217219e-285,0.185952617986118,0.185952617986118,0.278928926979178,-0.00885759533207898
V486,5.78559056732243e-134,0,5.78559056732243e-134,5.20703151059019e-133,0.300554905538833
V611,7.85174729011344e-237,1.78789358251663e-06,1.78789358251663e-06,1.25152550776164e-05,0.0543921986192923
V663,1.11392282606853e-247,0.000266365974025851,0.000266365974025851,0.0010654638961034,0.0310108422723666
V920,4.11076716220018e-140,0.0789009968301775,0.0789009968301775,0.177527242867899,0.0155640585651136
V1033,9.44916524848854e-300,0.0164293611644635,0.0164293611644635,0.0492880834933904,-0.0128472652824988
V1121,5.12603686290704e-105,0,5.12603686290704e-105,4.10082949032563e-104,-0.261683908651939
