id,e2m,m2y,e2m2y,padj,coef
V178,1.47545728834686e-05,0,1.47545728834686e-05,7.3772864417343e-05,0.309247758207106
V237,2.08225917087653e-09,0,2.08225917087653e-09,1.45758141961357e-08,-0.313053810103415
V371,2.25895552152799e-05,1.25104349102401e-09,2.25895552152799e-05,9.03582208611198e-05,-0.143456629868688
V392,0.00367744637229284,0,0.00367744637229284,0.00735489274458567,-0.338063295448565
V486,0.0100603889518405,0,0.0100603889518405,0.0100603889518405,0.331404163981843
V954,0.000329701017653283,7.87107186095426e-08,0.000329701017653283,0.00098910305295985,0.105672347688076
V1121,4.10027752861808e-08,0,4.10027752861808e-08,2.46016651717085e-07,-0.284482158753545
